dyad_id,Category_Actors,Category_Goal,Category_Phases,global_category
634,['Non-Mediated'],['Drop'],nego,[]
634,['Non-Mediated'],['Political Power and Governance'],nego,[62]
634,['Non-Mediated'],['Political Power and Governance'],nego,[62]
634,['Non-Mediated'],['Political Power and Governance'],nego,[62]
634,['International and Regional Actors'],['Drop'],nego,[]
634,['Non-Mediated'],['Cessation of Hostilities and Security'],nego,[61]
634,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
634,['Non-Mediated'],['Cessation of Hostilities and Security'],nego,[61]
634,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
634,['Non-Mediated'],['Cessation of Hostilities and Security'],nego,[61]
634,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
634,['Non-Mediated'],['Drop'],nego,[]
634,['Non-Mediated'],['Drop'],nego,[]
634,['Non-Mediated'],['Drop'],nego,[]
858,['International and Regional Actors'],['Unspecified'],nego,[12]
858,['International and Regional Actors'],['Unspecified'],nego,[12]
858,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
858,['International and Regional Actors'],['Unspecified'],nego,[12]
858,['International and Regional Actors'],['Unspecified'],nego,[12]
858,['International and Regional Actors'],"['Cessation of Hostilities and Security', 'Drop']",nego,[7]
858,['International and Regional Actors'],"['Cessation of Hostilities and Security', 'Political Power and Governance']",nego,"[7, 8]"
865,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['International and Regional Actors'],"['Unspecified', 'Drop']",nego,[12]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
865,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
865,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
865,['International and Regional Actors'],"['Cessation of Hostilities and Security', 'Political Power and Governance', 'Drop']",nego,"[7, 8]"
865,['National State Actors'],"['Post-Conflict Justice and Social Healing', 'Drop']",[],[]
865,['International and Regional Actors'],['Unspecified'],nego,[12]
865,['Non-Mediated'],['Unspecified'],nego_implement,[72]
865,['Non-Mediated'],['Political Power and Governance'],nego,[62]
865,['Non-Mediated'],['Unspecified'],nego,[66]
865,['Non-Mediated'],['Political Power and Governance'],nego,[62]
865,['Non-Mediated'],['Drop'],nego_implement,[]
865,['Non-Mediated'],['Drop'],nego_implement,[]
865,['Non-Mediated'],['Unspecified'],nego,[66]
865,['Non-Mediated'],['Drop'],nego_implement,[]
865,['Non-Mediated'],['Drop'],nego,[]
902,['International and Regional Actors'],['Unspecified'],nego,[12]
902,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
902,['Non-Mediated'],['Political Power and Governance'],nego,[62]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Drop'],nego,[]
11989,['International and Regional Actors'],"['Political Power and Governance', 'Drop']",nego,[8]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Drop'],nego,[]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
11989,['International and Regional Actors'],['Unspecified'],nego_implement,[18]
11989,['International and Regional Actors'],['Unspecified'],nego_implement,[18]
11989,['International and Regional Actors'],['Unspecified'],nego_implement,[18]
11989,['International and Regional Actors'],['Unspecified'],nego_implement,[18]
11989,['International and Regional Actors'],['Cessation of Hostilities and Security'],nego,[7]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['Non-Mediated'],"['Political Power and Governance', 'Drop']",nego,[62]
11989,['Non-Mediated'],['Unspecified'],nego_implement,[72]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['International and Regional Actors'],['Drop'],nego,[]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['Non-Mediated'],['Drop'],nego,[]
11989,['Non-Mediated'],['Drop'],nego,[]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,['International and Regional Actors'],['Unspecified'],nego,[12]
11989,['Non-Mediated'],['Unspecified'],nego,[66]
11989,"['International and Regional Actors', 'Drop']",['Unspecified'],nego,[12]
14236,['Non-Mediated'],['Cessation of Hostilities and Security'],nego,[61]
14236,['International and Regional Actors'],"['Cessation of Hostilities and Security', 'Political Power and Governance', 'Drop']",nego,"[7, 8]"
14236,['Non-Mediated'],"['Political Power and Governance', 'Drop']",nego,[62]
14236,['Non-Mediated'],['Cessation of Hostilities and Security'],nego,[61]
14236,['Non-Mediated'],"['Cessation of Hostilities and Security', 'Political Power and Governance']",nego,"[61, 62]"
459,['Local and Informal Actors'],"['Cessation of Hostilities and Security', 'Resource Management and Economic Issues']",nego,"[43, 46]"
10855,['Local and Informal Actors'],['Unspecified'],nego,[48]
10855,['Local and Informal Actors'],['Cessation of Hostilities and Security'],nego,[43]
10855,['Non-Mediated'],['Political Power and Governance'],nego,[62]
10855,['International and Regional Actors'],['Unspecified'],nego,[12]
10855,['International and Regional Actors'],['Unspecified'],prenego,[6]
10855,"['International and Regional Actors', 'National State Actors']",['Cessation of Hostilities and Security'],nego,"[7, 25]"
10855,['International and Regional Actors'],"['Cessation of Hostilities and Security', 'Political Power and Governance']",nego,"[7, 8]"
10855,['International and Regional Actors'],['Unspecified'],nego_implement,[18]
10855,['International and Regional Actors'],['Political Power and Governance'],nego,[8]
