Support,Pattern,Decoded_Pattern
155,[4],[['?']]
144,[43],[['?']]
139,[18],[['?']]
134,[27],[['?']]
130,[8],[['?']]
115,[22],[['?']]
110,[38],[['?']]
104,[11],[['?']]
102,[20],[['?']]
100,[17],[['?']]
100,[39],[['?']]
95,[7],[['?']]
95,[45],[['?']]
92,[49],[['?']]
88,[31],[['?']]
88,[21],[['?']]
87,[25],[['?']]
83,[13],[['?']]
79,"[4, 4]","[['?'], ['?']]"
76,[3],[['?']]
75,[33],[['?']]
75,[30],[['?']]
74,[19],[['?']]
74,[0],[['?']]
72,[1],[['?']]
71,[35],[['?']]
70,[24],[['?']]
68,"[18, 18]","[['?'], ['?']]"
67,[44],[['?']]
67,[46],[['?']]
66,"[43, 27]","[['?'], ['?']]"
66,[41],[['?']]
66,[23],[['?']]
66,[47],[['?']]
66,[15],[['?']]
64,"[18, 4]","[['?'], ['?']]"
62,"[18, 27]","[['?'], ['?']]"
61,"[43, 43]","[['?'], ['?']]"
60,"[4, 18]","[['?'], ['?']]"
59,[10],[['?']]
58,"[4, 27]","[['?'], ['?']]"
58,"[27, 4]","[['?'], ['?']]"
58,"[27, 27]","[['?'], ['?']]"
54,"[43, 4]","[['?'], ['?']]"
54,[48],[['?']]
54,[28],[['?']]
54,"[18, 43]","[['?'], ['?']]"
53,"[4, 43]","[['?'], ['?']]"
53,"[27, 43]","[['?'], ['?']]"
52,"[38, 27]","[['?'], ['?']]"
52,[26],[['?']]
51,"[38, 4]","[['?'], ['?']]"
50,"[43, 38]","[['?'], ['?']]"
50,[9],[['?']]
50,"[27, 11]","[['?'], ['?']]"
50,[40],[['?']]
49,"[4, 38]","[['?'], ['?']]"
49,[32],[['?']]
49,[2],[['?']]
48,"[4, 22]","[['?'], ['?']]"
48,"[22, 4]","[['?'], ['?']]"
48,"[11, 27]","[['?'], ['?']]"
48,"[27, 38]","[['?'], ['?']]"
48,"[18, 38]","[['?'], ['?']]"
48,"[39, 4]","[['?'], ['?']]"
47,"[7, 27]","[['?'], ['?']]"
47,"[4, 39]","[['?'], ['?']]"
47,"[22, 43]","[['?'], ['?']]"
47,"[22, 22]","[['?'], ['?']]"
47,"[22, 27]","[['?'], ['?']]"
47,"[8, 27]","[['?'], ['?']]"
47,"[18, 20]","[['?'], ['?']]"
47,[36],[['?']]
47,[6],[['?']]
46,"[4, 20]","[['?'], ['?']]"
46,"[38, 38]","[['?'], ['?']]"
46,"[27, 18]","[['?'], ['?']]"
45,"[4, 8]","[['?'], ['?']]"
45,"[8, 4]","[['?'], ['?']]"
45,"[18, 22]","[['?'], ['?']]"
45,"[18, 8]","[['?'], ['?']]"
44,"[43, 11]","[['?'], ['?']]"
44,"[43, 20]","[['?'], ['?']]"
44,"[4, 4, 4]","[['?'], ['?'], ['?']]"
43,"[4, 7]","[['?'], ['?']]"
43,"[22, 38]","[['?'], ['?']]"
43,"[13, 4]","[['?'], ['?']]"
42,"[49, 27]","[['?'], ['?']]"
42,"[43, 8]","[['?'], ['?']]"
42,"[43, 18]","[['?'], ['?']]"
42,"[38, 43]","[['?'], ['?']]"
42,"[38, 22]","[['?'], ['?']]"
42,"[25, 4]","[['?'], ['?']]"
42,"[27, 22]","[['?'], ['?']]"
42,"[8, 8]","[['?'], ['?']]"
42,"[18, 18, 18]","[['?'], ['?'], ['?']]"
41,"[19, 4]","[['?'], ['?']]"
41,"[43, 4, 4]","[['?'], ['?'], ['?']]"
41,"[43, 22]","[['?'], ['?']]"
41,"[43, 30]","[['?'], ['?']]"
41,"[43, 39]","[['?'], ['?']]"
41,"[22, 18]","[['?'], ['?']]"
41,"[27, 20]","[['?'], ['?']]"
41,"[39, 43]","[['?'], ['?']]"
41,[14],[['?']]
41,"[0, 27]","[['?'], ['?']]"
40,"[17, 4]","[['?'], ['?']]"
40,"[19, 27]","[['?'], ['?']]"
40,"[43, 7]","[['?'], ['?']]"
40,"[4, 30]","[['?'], ['?']]"
40,"[1, 4]","[['?'], ['?']]"
40,"[18, 39]","[['?'], ['?']]"
40,"[18, 11]","[['?'], ['?']]"
39,"[4, 4, 18]","[['?'], ['?'], ['?']]"
39,"[25, 43]","[['?'], ['?']]"
39,"[25, 27]","[['?'], ['?']]"
39,"[27, 8]","[['?'], ['?']]"
39,"[30, 27]","[['?'], ['?']]"
39,"[45, 43]","[['?'], ['?']]"
39,"[18, 4, 4]","[['?'], ['?'], ['?']]"
39,"[39, 27]","[['?'], ['?']]"
39,"[39, 22]","[['?'], ['?']]"
39,"[20, 27]","[['?'], ['?']]"
38,"[4, 4, 27]","[['?'], ['?'], ['?']]"
38,"[4, 21]","[['?'], ['?']]"
38,"[4, 18, 4]","[['?'], ['?'], ['?']]"
38,"[11, 4]","[['?'], ['?']]"
38,"[8, 18]","[['?'], ['?']]"
38,"[18, 44]","[['?'], ['?']]"
38,"[18, 7]","[['?'], ['?']]"
38,"[18, 1]","[['?'], ['?']]"
38,"[39, 18]","[['?'], ['?']]"
37,"[49, 18]","[['?'], ['?']]"
37,"[4, 17]","[['?'], ['?']]"
37,"[13, 27]","[['?'], ['?']]"
37,"[8, 38]","[['?'], ['?']]"
37,"[18, 27, 27]","[['?'], ['?'], ['?']]"
37,"[20, 4]","[['?'], ['?']]"
36,"[17, 27]","[['?'], ['?']]"
36,"[49, 22]","[['?'], ['?']]"
36,"[43, 49]","[['?'], ['?']]"
36,"[43, 13]","[['?'], ['?']]"
36,"[4, 4, 43]","[['?'], ['?'], ['?']]"
36,"[4, 1]","[['?'], ['?']]"
36,"[4, 11]","[['?'], ['?']]"
36,"[4, 45]","[['?'], ['?']]"
36,"[22, 11]","[['?'], ['?']]"
36,"[22, 45]","[['?'], ['?']]"
36,"[11, 43]","[['?'], ['?']]"
36,"[35, 4]","[['?'], ['?']]"
36,"[21, 27]","[['?'], ['?']]"
36,"[21, 4]","[['?'], ['?']]"
36,"[45, 38]","[['?'], ['?']]"
36,"[45, 27]","[['?'], ['?']]"
36,"[8, 43]","[['?'], ['?']]"
36,"[18, 18, 43]","[['?'], ['?'], ['?']]"
36,"[18, 18, 4]","[['?'], ['?'], ['?']]"
36,"[18, 18, 27]","[['?'], ['?'], ['?']]"
36,"[44, 43]","[['?'], ['?']]"
36,"[44, 18]","[['?'], ['?']]"
36,"[20, 43]","[['?'], ['?']]"
36,[12],[['?']]
35,"[17, 18]","[['?'], ['?']]"
35,"[49, 43]","[['?'], ['?']]"
35,"[43, 1]","[['?'], ['?']]"
35,"[4, 24]","[['?'], ['?']]"
35,"[38, 11]","[['?'], ['?']]"
35,"[38, 18]","[['?'], ['?']]"
35,"[1, 27]","[['?'], ['?']]"
35,"[11, 22]","[['?'], ['?']]"
35,"[21, 22]","[['?'], ['?']]"
35,"[18, 21]","[['?'], ['?']]"
35,"[44, 27]","[['?'], ['?']]"
35,"[39, 11]","[['?'], ['?']]"
35,"[39, 20]","[['?'], ['?']]"
35,"[20, 18]","[['?'], ['?']]"
35,"[24, 4]","[['?'], ['?']]"
35,"[0, 22]","[['?'], ['?']]"
35,"[0, 38]","[['?'], ['?']]"
34,"[43, 23]","[['?'], ['?']]"
34,"[4, 44]","[['?'], ['?']]"
34,"[22, 4, 4]","[['?'], ['?'], ['?']]"
34,"[23, 27]","[['?'], ['?']]"
34,"[45, 11]","[['?'], ['?']]"
34,"[18, 13]","[['?'], ['?']]"
34,"[0, 4]","[['?'], ['?']]"
33,"[7, 4]","[['?'], ['?']]"
33,"[7, 18]","[['?'], ['?']]"
33,"[49, 4]","[['?'], ['?']]"
33,"[43, 4, 38]","[['?'], ['?'], ['?']]"
33,"[43, 4, 27]","[['?'], ['?'], ['?']]"
33,"[43, 45]","[['?'], ['?']]"
33,"[43, 17]","[['?'], ['?']]"
33,"[4, 49]","[['?'], ['?']]"
33,"[4, 4, 38]","[['?'], ['?'], ['?']]"
33,"[4, 4, 22]","[['?'], ['?'], ['?']]"
33,"[4, 4, 39]","[['?'], ['?'], ['?']]"
33,"[4, 18, 18]","[['?'], ['?'], ['?']]"
33,"[31, 27]","[['?'], ['?']]"
33,"[22, 20]","[['?'], ['?']]"
33,"[25, 18]","[['?'], ['?']]"
33,"[27, 27, 27]","[['?'], ['?'], ['?']]"
33,"[21, 38]","[['?'], ['?']]"
33,"[21, 43]","[['?'], ['?']]"
33,"[45, 45]","[['?'], ['?']]"
33,"[8, 11]","[['?'], ['?']]"
33,"[8, 17]","[['?'], ['?']]"
33,"[8, 7]","[['?'], ['?']]"
33,"[18, 0]","[['?'], ['?']]"
33,"[18, 49]","[['?'], ['?']]"
33,"[18, 30]","[['?'], ['?']]"
33,"[18, 19]","[['?'], ['?']]"
33,"[20, 20]","[['?'], ['?']]"
32,"[19, 38]","[['?'], ['?']]"
32,"[7, 43]","[['?'], ['?']]"
32,"[49, 38]","[['?'], ['?']]"
32,"[43, 25]","[['?'], ['?']]"
32,"[43, 44]","[['?'], ['?']]"
32,"[4, 43, 43]","[['?'], ['?'], ['?']]"
32,"[4, 35]","[['?'], ['?']]"
32,"[4, 13]","[['?'], ['?']]"
32,[16],[['?']]
32,"[31, 22]","[['?'], ['?']]"
32,"[22, 13]","[['?'], ['?']]"
32,"[38, 39]","[['?'], ['?']]"
32,"[25, 22]","[['?'], ['?']]"
32,"[23, 4]","[['?'], ['?']]"
32,"[11, 11]","[['?'], ['?']]"
32,"[27, 30]","[['?'], ['?']]"
32,"[27, 13]","[['?'], ['?']]"
32,"[13, 43]","[['?'], ['?']]"
32,"[45, 22]","[['?'], ['?']]"
32,"[18, 4, 18]","[['?'], ['?'], ['?']]"
32,"[18, 4, 27]","[['?'], ['?'], ['?']]"
32,"[18, 43, 27]","[['?'], ['?'], ['?']]"
32,"[44, 44]","[['?'], ['?']]"
32,"[39, 38]","[['?'], ['?']]"
32,"[24, 22]","[['?'], ['?']]"
32,"[24, 27]","[['?'], ['?']]"
31,"[17, 43]","[['?'], ['?']]"
31,"[17, 11]","[['?'], ['?']]"
31,"[19, 43]","[['?'], ['?']]"
31,"[7, 38]","[['?'], ['?']]"
31,"[49, 7]","[['?'], ['?']]"
31,"[49, 11]","[['?'], ['?']]"
31,"[4, 43, 4]","[['?'], ['?'], ['?']]"
31,"[4, 43, 27]","[['?'], ['?'], ['?']]"
31,"[4, 48]","[['?'], ['?']]"
31,"[4, 38, 4]","[['?'], ['?'], ['?']]"
31,"[4, 27, 4]","[['?'], ['?'], ['?']]"
31,"[4, 3]","[['?'], ['?']]"
31,"[4, 0]","[['?'], ['?']]"
31,"[4, 19]","[['?'], ['?']]"
31,"[31, 38]","[['?'], ['?']]"
31,"[22, 21]","[['?'], ['?']]"
31,"[22, 0]","[['?'], ['?']]"
31,"[25, 38]","[['?'], ['?']]"
31,"[11, 38]","[['?'], ['?']]"
31,"[11, 20]","[['?'], ['?']]"
31,"[27, 17]","[['?'], ['?']]"
31,"[27, 7]","[['?'], ['?']]"
31,"[30, 43]","[['?'], ['?']]"
31,"[13, 38]","[['?'], ['?']]"
31,"[13, 22]","[['?'], ['?']]"
31,"[8, 22]","[['?'], ['?']]"
