Support,Pattern,Cluster Sequence
66,establish develop implement → agreement implement reach,43 → 27
64,negoti take place → take place mediat,18 → 4
62,negoti take place → agreement implement reach,18 → 27
60,take place mediat → negoti take place,4 → 18
58,take place mediat → agreement implement reach,4 → 27
58,agreement implement reach → take place mediat,27 → 4
54,establish develop implement → take place mediat,43 → 4
54,negoti take place → establish develop implement,18 → 43
53,take place mediat → establish develop implement,4 → 43
53,agreement implement reach → establish develop implement,27 → 43
52,cessat continu mediat → agreement implement reach,38 → 27
51,cessat continu mediat → take place mediat,38 → 4
50,establish develop implement → cessat continu mediat,43 → 38
50,agreement implement reach → commit agreement committe,27 → 11
49,take place mediat → cessat continu mediat,4 → 38
48,take place mediat → meet take place,4 → 22
48,meet take place → take place mediat,22 → 4
48,commit agreement committe → agreement implement reach,11 → 27
48,agreement implement reach → cessat continu mediat,27 → 38
48,negoti take place → cessat continu mediat,18 → 38
48,parti meet reach → take place mediat,39 → 4
47,coalit strateg launch → agreement implement reach,7 → 27
47,take place mediat → parti meet reach,4 → 39
47,meet take place → establish develop implement,22 → 43
47,meet take place → agreement implement reach,22 → 27
47,lead ceasefir peac → agreement implement reach,8 → 27
47,negoti take place → govern state take,18 → 20
46,take place mediat → govern state take,4 → 20
46,agreement implement reach → negoti take place,27 → 18
45,take place mediat → lead ceasefir peac,4 → 8
45,lead ceasefir peac → take place mediat,8 → 4
45,negoti take place → meet take place,18 → 22
45,negoti take place → lead ceasefir peac,18 → 8
44,establish develop implement → commit agreement committe,43 → 11
44,establish develop implement → govern state take,43 → 20
43,take place mediat → coalit strateg launch,4 → 7
43,meet take place → cessat continu mediat,22 → 38
43,octob septemb decemb → take place mediat,13 → 4
42,hold confer elect → agreement implement reach,49 → 27
42,establish develop implement → lead ceasefir peac,43 → 8
42,establish develop implement → negoti take place,43 → 18
42,cessat continu mediat → establish develop implement,38 → 43
42,cessat continu mediat → meet take place,38 → 22
42,ceasefir take effect → take place mediat,25 → 4
42,agreement implement reach → meet take place,27 → 22
