minsup,Pattern,Support
100,"[(66,)]",105
100,"[(30,)]",112
100,"[(12,)]",151
100,"[(8,)]",124
100,"[(7,)]",102
50,"[(66,)]",105
50,"[(62,)]",88
50,"[(61,)]",93
50,"[(48,)]",88
50,"[(30,)]",112
50,"[(25,)]",57
50,"[(12,), (12,), (12,)]",61
50,"[(12,), (12,)]",86
50,"[(12,), (8,)]",65
50,"[(12,), (7, 8)]",51
50,"[(12,), (7,)]",53
50,"[(12,)]",151
50,"[(8,), (12,)]",53
50,"[(8,), (8,)]",58
50,"[(8,)]",124
50,"[(7, 8), (12,)]",50
50,"[(7, 8)]",83
50,"[(7,), (12,)]",56
50,"[(7,), (7,)]",52
50,"[(7,)]",102
20,"[(66,), (66,), (66,)]",20
20,"[(66,), (66,)]",41
20,"[(66,), (62,)]",23
20,"[(66,), (61,)]",21
20,"[(66,), (12,), (12,)]",20
20,"[(66,), (12,)]",36
20,"[(66,), (8,)]",27
20,"[(66,)]",105
20,"[(62,), (66,)]",22
20,"[(62,), (62,)]",23
20,"[(62,), (12,)]",23
20,"[(62,), (8,)]",22
20,"[(62,)]",88
20,"[(61, 62)]",32
20,"[(61,), (66,)]",22
20,"[(61,), (61,)]",28
20,"[(61,), (12,), (12,)]",20
20,"[(61,), (12,)]",27
20,"[(61,), (7, 8)]",20
20,"[(61,), (7,)]",24
20,"[(61,)]",93
20,"[(48,), (48,)]",27
20,"[(48,), (30,)]",29
20,"[(48,)]",88
20,"[(44,)]",33
20,"[(43,)]",48
20,"[(30, 48)]",33
20,"[(30,), (66,)]",26
20,"[(30,), (62,)]",20
20,"[(30,), (48,)]",25
20,"[(30,), (30,), (30,)]",23
20,"[(30,), (30,)]",43
20,"[(30,), (25,)]",24
20,"[(30,), (12,)]",21
20,"[(30,)]",112
20,"[(26,), (30,)]",21
20,"[(26,)]",45
20,"[(25, 26)]",20
20,"[(25,), (30,)]",23
20,"[(25,)]",57
20,"[(18,)]",24
20,"[(14,)]",21
20,"[(13,)]",20
20,"[(12, 48)]",37
20,"[(12, 30)]",24
20,"[(12,), (66,)]",34
20,"[(12,), (62,)]",21
20,"[(12,), (61,)]",28
20,"[(12,), (12,), (66,)]",21
20,"[(12,), (12,), (61,)]",20
20,"[(12,), (12,), (12,), (12,), (12,)]",23
20,"[(12,), (12,), (12,), (12,), (8,)]",21
20,"[(12,), (12,), (12,), (12,)]",37
20,"[(12,), (12,), (12,), (8,), (8,)]",24
20,"[(12,), (12,), (12,), (8,)]",32
20,"[(12,), (12,), (12,), (7, 8)]",22
20,"[(12,), (12,), (12,), (7,)]",26
20,"[(12,), (12,), (12,)]",61
20,"[(12,), (12,), (8,), (12,)]",24
20,"[(12,), (12,), (8,), (8,)]",29
20,"[(12,), (12,), (8,)]",42
20,"[(12,), (12,), (7, 8), (12,)]",21
20,"[(12,), (12,), (7, 8)]",33
20,"[(12,), (12,), (7,), (12,)]",27
20,"[(12,), (12,), (7,), (7, 8)]",22
20,"[(12,), (12,), (7,), (7,)]",24
20,"[(12,), (12,), (7,)]",33
20,"[(12,), (12,)]",86
20,"[(12,), (8,), (12,), (12,)]",21
20,"[(12,), (8,), (12,), (8,)]",20
20,"[(12,), (8,), (12,)]",31
20,"[(12,), (8,), (8,), (12,)]",25
20,"[(12,), (8,), (8,), (8,)]",22
20,"[(12,), (8,), (8,)]",41
20,"[(12,), (8,), (7, 8)]",24
20,"[(12,), (8,), (7,)]",22
20,"[(12,), (8,)]",65
20,"[(12,), (7, 8), (12,), (12,)]",23
20,"[(12,), (7, 8), (12,)]",34
20,"[(12,), (7, 8), (8,), (12,)]",20
20,"[(12,), (7, 8), (8,)]",33
20,"[(12,), (7, 8), (7, 8), (8,)]",20
20,"[(12,), (7, 8), (7, 8)]",26
20,"[(12,), (7, 8), (7,)]",20
20,"[(12,), (7, 8)]",51
20,"[(12,), (7,), (12,), (12,)]",27
20,"[(12,), (7,), (12,), (8,)]",21
20,"[(12,), (7,), (12,), (7,)]",23
20,"[(12,), (7,), (12,)]",36
20,"[(12,), (7,), (8,)]",30
20,"[(12,), (7,), (7, 8), (8,)]",21
20,"[(12,), (7,), (7, 8)]",29
20,"[(12,), (7,), (7,), (12,)]",23
20,"[(12,), (7,), (7,), (7, 8)]",20
20,"[(12,), (7,), (7,)]",33
20,"[(12,), (7,)]",53
20,"[(12,)]",151
20,"[(9,)]",24
20,"[(8, 26, 44)]",22
20,"[(8, 26)]",25
20,"[(8,), (66,)]",21
20,"[(8,), (62,)]",22
20,"[(8,), (12,), (12,), (12,)]",23
20,"[(8,), (12,), (12,)]",35
20,"[(8,), (12,), (8,)]",26
20,"[(8,), (12,), (7,)]",21
20,"[(8,), (12,)]",53
20,"[(8,), (8,), (12,), (12,)]",20
20,"[(8,), (8,), (12,)]",29
20,"[(8,), (8,), (8,)]",32
20,"[(8,), (8,), (7, 8)]",21
20,"[(8,), (8,), (7,)]",23
20,"[(8,), (8,)]",58
20,"[(8,), (7, 8), (12,)]",24
20,"[(8,), (7, 8), (8,)]",21
20,"[(8,), (7, 8)]",34
20,"[(8,), (7,), (12,)]",22
20,"[(8,), (7,), (8,)]",20
20,"[(8,), (7,), (7, 8)]",20
20,"[(8,), (7,)]",35
20,"[(8,)]",124
20,"[(7, 25)]",20
20,"[(7, 8, 9)]",28
