dyad_id,global_category
459,"[[43, 46]]"
532,"[[12], [7, 8], [7, 10], [12], [7], [13, 16], [7], [12], [7], [16], [12], [61], [7], [7], [12], [7], [8, 9], [8, 9], [8], [12], [7, 8], [13, 16], [8, 11], [8], [8], [44], [14], [14, 15, 50, 51], [14, 50], [8], [8]]"
533,"[[7, 10], [8], [62], [7, 8], [67], [7]]"
555,"[[6], [6], [60], [6], [12], [12], [7, 8, 10], [7, 8, 10], [13], [13, 14], [13]]"
558,"[[2], [12], [8]]"
571,[[8]]
584,[[8]]
585,"[[7], [5], [7, 8, 9, 11], [18], [5], [18], [18], [14], [65], [11], [71], [7, 11], [65], [65], [18], [14, 15, 16], [14], [6], [12], [18], [8, 9], [12], [8, 11], [8], [7, 11], [11], [7, 8, 9], [18], [8], [18]]"
586,"[[12], [7], [12], [7], [7, 8, 11], [7], [7, 8, 9, 11], [18], [5], [18], [11], [18], [14], [65], [11], [71], [7, 8, 11], [65], [65], [18], [14, 15, 16], [14], [6], [12], [18], [8, 9], [7], [8, 11], [8], [7, 11], [11], [11], [11], [17], [7, 8, 9], [18], [8], [18], [17], [12]]"
588,"[[13, 17], [17], [17], [11], [7], [8], [17], [17], [17], [17], [7, 8], [71], [17], [17], [17], [7], [17], [12], [17], [17], [62, 65], [65], [7, 8, 9]]"
593,"[[12], [12], [6], [12], [6], [7], [12], [12], [8], [8], [7], [8], [7, 8], [7, 8, 9], [12], [8]]"
594,"[[12, 48], [6], [6], [7], [12], [12], [8], [8], [7], [8], [7, 8], [7, 8, 9], [12], [8], [61]]"
595,"[[6], [6], [7], [12], [12], [12], [8], [8], [7], [7, 8], [7, 8, 9], [12], [8]]"
596,"[[12], [12], [7], [7], [7], [7, 8, 9], [14], [7, 8], [18], [12], [7], [12], [7], [18], [12], [7, 8, 9]]"
597,"[[12, 48], [12, 48], [12, 48], [12], [6], [18], [18], [12], [8], [62], [7, 8, 11], [18], [7, 8], [7, 8, 9], [7, 8]]"
610,"[[7, 8], [61, 62, 64], [14], [7, 8, 9], [7], [7, 8, 9]]"
612,"[[8], [8], [8]]"
613,"[[12], [61], [7], [7, 8, 9]]"
614,"[[7, 9], [7, 8, 9], [61], [62, 63], [8, 9, 10]]"
615,"[[61], [61, 62, 63]]"
