Actor,Action,Object,dyad_id
conclud,allow,region,459
solut,conflict,februari,532
serv,collect,inform,532
kilibi,hold,leader,532
advoc,withdraw,leagu,532
approv,send,aoun,532
leagu,go,effect,532
plan,receiv,endors,532
aim,implement,call,532
1989,follow,peac,532
brahimi,meet,broker,532
team,meet,aoun,532
beirut,end,day,532
envoy,talk,selim,532
discuss,deploy,hoss,532
leagu,hold,discuss,532
forc,withdraw,propos,532
team,visit,consult,532
syria,confirm,situat,532
plan,send,dozen,532
observ,follow,union,532
union,use,urg,532
stop,send,forc,532
alli,announc,enclav,532
brahimi,hold,selim,532
complet,withdraw,lebanon,532
stress,lebane,respons,532
reportedli,hit,beirut,532
need,end,lebanon,532
effort,reach,continu,532
mediat,continu,franc,532
lebanes,react,attempt,532
support,send,damascu,532
un,discuss,diplomat,532
statement,follow,call,532
committe,call,ceasefir,532
restor,lebane,throughout,532
document,send,council,532
beirut,find,way,532
terrosov,meet,selim,532
beirut,hold,syrian,532
terrosov,meet,aoun,532
reportedli,meet,aoun,532
role,withdraw,begin,532
arabia,discuss,process,532
peac,plan,call,532
claim,contain,clarif,532
envoy,hold,brief,532
syria,withdraw,clarif,532
alllebanes,implement,includ,532
repres,discuss,plan,532
brahimi,hold,anoth,532
us,put,aoun,532
parliament,meet,arabia,532
gather,take,taif,532
arabia,involv,legisl,532
purpos,meet,well,532
soil,focus,base,532
acceler,timet,amend,532
decis,meet,taif,532
arabia,extend,agreement,532
firm,commit,complet,532
reform,unaccept,agreement,532
way,lebane,plan,532
parliament,meet,presid,532
plan,meet,aoun,532
naaman,meet,clergymen,532
envoy,meet,hrawi,532
brahimi,meet,beirut,532
hussein,husseini,leader,532
plan,meet,hrawi,532
agre,extend,committe,532
plan,end,conflict,532
aoun,accept,reject,532
peac,plan,envoy,532
tri,make,mind,532
aoun,accept,agreement,532
agreement,meet,selim,532
brahimi,meet,persuad,532
war,climax,posit,532
surrend,go,franc,532
kilibi,hold,leader,533
solut,withdraw,leader,533
leagu,hold,lebanon,533
approv,send,leagu,533
plan,receiv,endors,533
committe,call,ceasefir,533
restor,lebane,throughout,533
document,send,council,533
arabia,discuss,process,533
peac,plan,call,533
plan,call,reconcili,533
claim,contain,clarif,533
bid,meet,govern,533
commun,lebane,progress,533
soldier,take,taif,533
arabia,involv,legisl,533
purpos,meet,well,533
soil,focus,base,533
elect,withdraw,lebanes,533
decis,meet,taif,533
agreement,octob,vote,533
plan,express,agreement,533
firm,commit,complet,533
announc,take,place,555
obasanjo,visit,manag,555
effort,support,visit,555
deliv,fight,effort,555
publicli,confirm,stride,555
