minsup,Pattern,Support
100,105,"[(66,)]"
100,112,"[(30,)]"
100,151,"[(12,)]"
100,124,"[(8,)]"
100,102,"[(7,)]"
50,105,"[(66,)]"
50,88,"[(62,)]"
50,93,"[(61,)]"
50,88,"[(48,)]"
50,112,"[(30,)]"
50,57,"[(25,)]"
50,61,"[(12,), (12,), (12,)]"
50,86,"[(12,), (12,)]"
50,65,"[(12,), (8,)]"
50,51,"[(12,), (7, 8)]"
50,53,"[(12,), (7,)]"
50,151,"[(12,)]"
50,53,"[(8,), (12,)]"
50,58,"[(8,), (8,)]"
50,124,"[(8,)]"
50,50,"[(7, 8), (12,)]"
50,83,"[(7, 8)]"
50,56,"[(7,), (12,)]"
50,52,"[(7,), (7,)]"
50,102,"[(7,)]"
20,20,"[(66,), (66,), (66,)]"
20,41,"[(66,), (66,)]"
20,23,"[(66,), (62,)]"
20,21,"[(66,), (61,)]"
20,20,"[(66,), (12,), (12,)]"
20,36,"[(66,), (12,)]"
20,27,"[(66,), (8,)]"
20,105,"[(66,)]"
20,22,"[(62,), (66,)]"
20,23,"[(62,), (62,)]"
20,23,"[(62,), (12,)]"
20,22,"[(62,), (8,)]"
20,88,"[(62,)]"
20,32,"[(61, 62)]"
20,22,"[(61,), (66,)]"
20,28,"[(61,), (61,)]"
20,20,"[(61,), (12,), (12,)]"
20,27,"[(61,), (12,)]"
20,20,"[(61,), (7, 8)]"
20,24,"[(61,), (7,)]"
20,93,"[(61,)]"
20,27,"[(48,), (48,)]"
20,29,"[(48,), (30,)]"
20,88,"[(48,)]"
20,33,"[(44,)]"
20,48,"[(43,)]"
20,33,"[(30, 48)]"
20,26,"[(30,), (66,)]"
20,20,"[(30,), (62,)]"
20,25,"[(30,), (48,)]"
20,23,"[(30,), (30,), (30,)]"
20,43,"[(30,), (30,)]"
20,24,"[(30,), (25,)]"
20,21,"[(30,), (12,)]"
20,112,"[(30,)]"
20,21,"[(26,), (30,)]"
20,45,"[(26,)]"
20,20,"[(25, 26)]"
20,23,"[(25,), (30,)]"
20,57,"[(25,)]"
20,24,"[(18,)]"
20,21,"[(14,)]"
20,20,"[(13,)]"
20,37,"[(12, 48)]"
20,24,"[(12, 30)]"
20,34,"[(12,), (66,)]"
20,21,"[(12,), (62,)]"
20,28,"[(12,), (61,)]"
20,21,"[(12,), (12,), (66,)]"
20,20,"[(12,), (12,), (61,)]"
20,23,"[(12,), (12,), (12,), (12,), (12,)]"
20,21,"[(12,), (12,), (12,), (12,), (8,)]"
20,37,"[(12,), (12,), (12,), (12,)]"
20,24,"[(12,), (12,), (12,), (8,), (8,)]"
20,32,"[(12,), (12,), (12,), (8,)]"
20,22,"[(12,), (12,), (12,), (7, 8)]"
20,26,"[(12,), (12,), (12,), (7,)]"
20,61,"[(12,), (12,), (12,)]"
20,24,"[(12,), (12,), (8,), (12,)]"
20,29,"[(12,), (12,), (8,), (8,)]"
20,42,"[(12,), (12,), (8,)]"
20,21,"[(12,), (12,), (7, 8), (12,)]"
20,33,"[(12,), (12,), (7, 8)]"
20,27,"[(12,), (12,), (7,), (12,)]"
20,22,"[(12,), (12,), (7,), (7, 8)]"
20,24,"[(12,), (12,), (7,), (7,)]"
20,33,"[(12,), (12,), (7,)]"
20,86,"[(12,), (12,)]"
20,21,"[(12,), (8,), (12,), (12,)]"
20,20,"[(12,), (8,), (12,), (8,)]"
20,31,"[(12,), (8,), (12,)]"
20,25,"[(12,), (8,), (8,), (12,)]"
20,22,"[(12,), (8,), (8,), (8,)]"
20,41,"[(12,), (8,), (8,)]"
20,24,"[(12,), (8,), (7, 8)]"
20,22,"[(12,), (8,), (7,)]"
20,65,"[(12,), (8,)]"
20,23,"[(12,), (7, 8), (12,), (12,)]"
20,34,"[(12,), (7, 8), (12,)]"
20,20,"[(12,), (7, 8), (8,), (12,)]"
20,33,"[(12,), (7, 8), (8,)]"
20,20,"[(12,), (7, 8), (7, 8), (8,)]"
20,26,"[(12,), (7, 8), (7, 8)]"
20,20,"[(12,), (7, 8), (7,)]"
20,51,"[(12,), (7, 8)]"
20,27,"[(12,), (7,), (12,), (12,)]"
20,21,"[(12,), (7,), (12,), (8,)]"
20,23,"[(12,), (7,), (12,), (7,)]"
20,36,"[(12,), (7,), (12,)]"
20,30,"[(12,), (7,), (8,)]"
20,21,"[(12,), (7,), (7, 8), (8,)]"
20,29,"[(12,), (7,), (7, 8)]"
20,23,"[(12,), (7,), (7,), (12,)]"
20,20,"[(12,), (7,), (7,), (7, 8)]"
20,33,"[(12,), (7,), (7,)]"
20,53,"[(12,), (7,)]"
20,151,"[(12,)]"
20,24,"[(9,)]"
20,22,"[(8, 26, 44)]"
20,25,"[(8, 26)]"
20,21,"[(8,), (66,)]"
20,22,"[(8,), (62,)]"
20,23,"[(8,), (12,), (12,), (12,)]"
20,35,"[(8,), (12,), (12,)]"
20,26,"[(8,), (12,), (8,)]"
20,21,"[(8,), (12,), (7,)]"
20,53,"[(8,), (12,)]"
